Year,Country,gold,ath_num,medal
2000,Cameroon,18,18,18
2000,Canada,4,30,31
2000,Chile,0,18,18
2000,China,39,63,79
2000,Colombia,1,1,1
2000,Costa Rica,0,1,2
2000,Croatia,1,10,10
2000,Cuba,22,69,69
2000,Czech Republic,2,9,9
2000,Denmark,18,25,25
2000,Estonia,1,3,3
2000,Ethiopia,4,7,8
2000,Finland,3,5,5
2000,France,22,61,66
2000,Georgia,0,6,6
2000,Germany,31,107,119
2000,Greece,4,18,18
2000,Hungary,25,49,53
2000,Iceland,0,1,1
2000,India,0,1,1
2000,Indonesia,2,8,8
2000,Iran,3,4,4
2000,Ireland,0,1,1
2000,Israel,0,1,1
2000,Italy,22,60,65
2000,Jamaica,0,17,23
2000,Japan,5,40,43
2000,Kazakhstan,3,7,7
2000,Kenya,2,7,7
2000,"Korea, North",0,4,4
2000,"Korea, South",12,69,73
2000,Kuwait,0,1,1
2000,Kyrgyzstan,0,1,1
2000,Latvia,1,3,3
2000,Lithuania,2,17,17
2000,Macedonia,0,1,1
2000,Mexico,1,6,6
2000,Moldova,0,2,2
2000,Morocco,0,5,5
2000,Mozambique,1,1,1
2000,Netherlands,27,67,79
2000,New Zealand,1,4,4
2000,Nigeria,0,8,8
2000,Norway,21,43,44
2000,Poland,7,23,24
2000,Portugal,0,2,2
2000,Qatar,0,1,1
2000,Romania,27,35,46
2000,Russia,66,169,188
2000,Saudi Arabia,0,2,2
2000,Slovakia,2,5,6
2000,Slovenia,3,3,3
2000,South Africa,0,5,5
2000,Spain,3,43,43
2000,Sri Lanka,0,1,1
2000,Sweden,4,30,32
2000,Switzerland,1,13,14
2000,Taiwan,0,5,5
2000,Thailand,1,3,3
2000,Trinidad and Tobago,0,1,2
2000,Turkey,3,5,5
2000,Ukraine,3,32,35
2000,United Kingdom,22,54,55
2000,United States,130,219,248
2000,Uruguay,0,1,1
2000,Uzbekistan,1,4,4
2000,Vietnam,0,1,1
2000,Yugoslavia,12,26,26
2004,Argentina,26,47,47
2004,Australia,49,134,157
2004,Austria,3,7,8
2004,Azerbaijan,1,5,5
2004,Bahamas,1,2,2
2004,Belarus,2,17,17
2004,Belgium,1,3,3
2004,Brazil,18,40,40
2004,Bulgaria,2,15,17
2004,Cameroon,1,1,1
2004,Canada,3,16,17
2004,Chile,3,2,4
2004,China,52,87,94
2004,Colombia,0,2,2
2004,Croatia,14,20,20
2004,Cuba,31,61,61
2004,Czech Republic,1,12,12
2004,Denmark,19,29,29
2004,Dominican Republic,1,1,1
2004,Egypt,1,5,5
2004,Eritrea,0,1,1
2004,Estonia,0,3,3
2004,Ethiopia,2,6,7
2004,Finland,0,2,2
2004,France,21,48,53
2004,Georgia,2,4,4
2004,Germany,41,139,149
2004,Greece,8,31,31
2004,Hong Kong*,0,2,2
2004,Hungary,24,38,40
2004,India,0,1,1
2004,Indonesia,1,5,5
2004,Iran,2,6,6
2004,Israel,1,2,2
2004,Italy,24,99,102
2004,Jamaica,6,11,13
2004,Japan,21,85,94
2004,Kazakhstan,1,8,8
2004,Kenya,1,7,7
2004,"Korea, North",0,5,5
2004,"Korea, South",14,49,52
2004,Latvia,0,4,4
2004,Lithuania,1,3,3
2004,Mexico,0,4,4
2004,Mongolia,0,1,1
2004,Morocco,2,2,3
2004,Netherlands,4,70,76
2004,New Zealand,4,6,6
2004,Nigeria,0,8,8
2004,Norway,5,6,7
2004,Paraguay,0,17,17
2004,Poland,4,10,12
2004,Portugal,0,3,3
2004,Romania,23,29,39
2004,Russia,47,180,192
2004,Serbia,0,14,14
2004,Slovakia,3,10,10
2004,Slovenia,0,5,5
2004,South Africa,4,8,10
2004,Spain,4,24,27
2004,Sweden,5,12,12
2004,Switzerland,1,7,7
2004,Syria,0,1,1
2004,Taiwan,2,9,9
2004,Thailand,3,8,8
2004,Trinidad and Tobago,0,1,1
2004,Turkey,3,10,10
2004,Ukraine,9,47,48
2004,United Arab Emirates,1,1,1
2004,United Kingdom,17,51,57
2004,United States,116,215,264
2004,Uzbekistan,2,5,5
2004,Venezuela,0,2,2
2004,Zimbabwe,1,1,3
2008,Afghanistan,0,1,1
2008,Algeria,0,2,2
2008,Argentina,20,51,51
2008,Armenia,0,6,6
2008,Australia,31,124,149
2008,Austria,0,3,3
2008,Azerbaijan,1,7,7
2008,Bahamas,0,5,5
2008,Belarus,8,28,30
2008,Belgium,1,5,5
2008,Brazil,14,74,75
2008,Bulgaria,1,5,5
2008,Cameroon,1,1,1
2008,Canada,11,33,34
2008,Chile,0,1,1
2008,China,74,157,184
2008,Colombia,0,2,2
2008,Croatia,0,5,5
2008,Cuba,2,47,47
2008,Czech Republic,3,6,7
2008,Denmark,6,18,18
2008,Dominican Republic,1,2,2
2008,Ecuador,0,1,1
2008,Egypt,0,1,1
2008,Estonia,1,3,3
2008,Ethiopia,4,5,7
2008,Finland,1,5,5
2008,France,25,70,76
2008,Georgia,3,6,6
2008,Germany,42,94,101
2008,Greece,0,7,7
2008,Hungary,16,23,27
2008,Iceland,0,14,14
2008,India,1,3,3
2008,Indonesia,2,7,7
2008,Iran,1,2,2
2008,Ireland,0,3,3
2008,Israel,0,1,1
2008,Italy,8,39,42
2008,Jamaica,9,13,17
2008,Japan,23,48,51
2008,Kazakhstan,2,13,13
2008,Kenya,6,14,14
2008,"Korea, North",2,6,6
2008,"Korea, South",41,72,78
2008,Kyrgyzstan,0,2,2
2008,Latvia,1,3,3
2008,Lithuania,0,5,5
2008,Malaysia,0,1,1
2008,Mauritius,0,1,1
2008,Mexico,2,4,4
2008,Moldova,0,1,1
2008,Mongolia,2,4,4
2008,Morocco,0,2,2
2008,Netherlands,40,61,62
2008,New Zealand,4,13,14
2008,Nigeria,0,24,24
2008,Norway,16,22,22
2008,Panama,1,1,1
2008,Poland,6,20,20
2008,Portugal,1,2,2
2008,Romania,5,19,22
2008,Russia,43,135,143
2008,Serbia,0,15,15
2008,Singapore,0,3,3
2008,Slovakia,4,10,10
2008,Slovenia,1,5,5
2008,South Africa,0,1,1
2008,Spain,7,67,71
2008,Sudan,0,1,1
2008,Sweden,0,7,7
2008,Switzerland,3,10,11
2008,Taiwan,0,4,4
2008,Tajikistan,0,2,2
2008,Thailand,2,4,4
2008,Togo,0,1,1
2008,Trinidad and Tobago,0,4,5
2008,Tunisia,1,1,1
2008,Turkey,1,7,8
2008,Ukraine,10,31,31
2008,United Kingdom,31,70,77
2008,United States,125,262,315
2008,Uzbekistan,1,6,6
2008,Venezuela,0,1,1
2008,Vietnam,0,1,1
2008,Zimbabwe,1,1,4
